45,40,0028,0000,4000,40,06,cc80,82d0f6b1,c2b431d9,1efedf3800000000d929918d50140000d8d20000, 7011
45,00,0054,77a6,0000,40,11,876f,82d0f6b1,01010101,cf15003500407bd5262b0100000100000000000103323137023439033138300331393407696e2d61646472046172706100000c000100002905c0000000000000, 7011
00,01,0800,0604,0002,bc,24,1133,d7f782d0,f6b1d401,c34c17fc82d0f6a1, 7011
45,00,0028,0000,4000,40,06,57d3,82d0f6b1,33443637,22b882120000000067e17af75014000045300000, 7011
45,00,0051,d16b,0000,40,11,2dad,82d0f6b1,01010101,b93f0035003d7bd227d90100000100000000000102353502353402363802353107696e2d61646472046172706100000c000100002905c0000000000000, 7011
00,01,0800,0604,0001,bc,24,1133,d7f782d0,f6b10000,0000000082d0f6a1, 7011
45,00,004a,c254,0000,ff,11,9ed0,82d0f6b1,e00000fb,14e914e900365ac50000000000010000000000000331363103323436033230380331333007696e2d61646472046172706100000c0001, 7011
45,00,0040,c5c7,4000,01,06,c0fc,82d0f6b1,82d0f6a1,847414eb35b945d700000000b002faf0f3260000020405b40402080a7699a786000000000103030822020101, 7011
45,00,004a,c274,0000,ff,11,9eb0,82d0f6b1,e00000fb,14e914e900365ac50000000000010000000000000331363103323436033230380331333007696e2d61646472046172706100000c0001, 7011
45,00,004a,ca4c,0000,ff,11,96d8,82d0f6b1,e00000fb,14e914e900365ac50000000000010000000000000331363103323436033230380331333007696e2d61646472046172706100000c0001, 7011
45,00,0051,a422,0000,40,11,5af6,82d0f6b1,01010101,e5bc0035003d7bd241d60100000100000000000103323531013001300332323407696e2d61646472046172706100000c000100002905c0000000000000, 7011
00,01,0800,0604,0002,bc,24,1133,d7f782d0,f6b1d401,c34c17fc82d0f6a1, 7011
45,00,0028,0000,4000,40,06,abad,82d0f6b1,c4fb50a5,1f40d16000000000a68f6fe85014000019950000, 7011
45,00,0054,3c5f,0000,40,11,c2b6,82d0f6b1,01010101,9941003500407bd535c20100000100000000000103313635023830033235310331393607696e2d61646472046172706100000c000100002905c0000000000000, 7011
45,40,0028,0000,4000,40,06,cc81,82d0f6b1,c2b431d8,0f2adde60000000076c51a1250140000c3d90000, 7011
45,00,0028,0000,4000,40,06,fde5,82d0f6b1,cf5af40d,08da6658000000007135d36850140000bf150000, 7011
45,00,004c,0f39,4000,40,11,387a,82d0f6ab,82d0f6a1,bb76007b0038f33723000820000000000000000000000000000000000000000000000000000000000000000000000000a22415501df45044, 7016
00,01,0800,0604,0002,bc,24,1156,421682d0,f6abd401,c34c17fc82d0f6a1, 7016
00,01,0800,0604,0001,bc,24,1156,421682d0,f6ab0000,0000000082d0f6a1, 7016
45,00,0028,0000,4000,40,06,9f5e,82d0f6ab,5c3fc5b6,19e2ba4e000000007d46f37050140000cf760000, 7016
45,00,0053,0aed,0000,40,11,e621,82d0f6ab,08080808,e4b30035003f89dc95c401000001000000000001033138320331393702363302393207696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,004d,98ef,0000,40,11,5825,82d0f6ab,08080808,e5c80035003989d6b5ff01000001000000000001013801380138013807696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,c0,0044,7256,0000,40,01,f222,82d0f6ab,b9f2e211,030d128e0000000045000028d4310000f206df1db9f2e21182d0f6aba15a001a5f20604c000000005002ffff39810000, 7016
45,d0,0048,44ea,0000,40,01,68cd,82d0f6ab,a5e3acce,030dc93f000000004510002c5e0000006f06218ea5e3acce82d0f6ab43a101d1ac6a90ff0000000060022dba1b620000020405b4, 7016
45,00,0054,7abd,0000,40,11,7650,82d0f6ab,08080808,c1640035004089dd3dba0100000100000000000102313703323236033234320331383507696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0055,0b73,0000,40,11,e599,82d0f6ab,08080808,ebb80035004189de7e46010000010000000000010332303603313732033232370331363507696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0028,0000,4000,40,06,8f64,82d0f6ab,a75e8a91,080478eb00000000ce5c44ae50140000706a0000, 7016
45,00,0054,33e4,0000,40,11,bd29,82d0f6ab,08080808,d22b0035004089dd10540100000100000000000103313435033133380239340331363707696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0028,0000,4000,40,06,3c4c,82d0f6ab,93b6f151,217f2083000000001318154a5014000046e80000, 7016
45,00,0054,a504,0000,40,11,4c09,82d0f6ab,08080808,851b0035004089dd4bae0100000100000000000102383103323431033138320331343707696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0028,0000,4000,40,06,a4a9,82d0f6ab,c4fb57af,001698d8000000000285100d501400006e290000, 7016
45,40,0028,0000,4000,40,06,cc87,82d0f6ab,c2b431d8,0df7dde6000000005fe426ef50140000cf160000, 7016
45,00,0054,423c,0000,40,11,aed1,82d0f6ab,08080808,e3f60035004089dd0cd90100000100000000000103313735023837033235310331393607696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0054,1a1f,0000,40,11,d6ee,82d0f6ab,08080808,94160035004089dd433b0100000100000000000103323136023439033138300331393407696e2d61646472046172706100000c000100002905c0000000000000, 7016
00,01,0800,0604,0002,bc,24,1156,421682d0,f6abd401,c34c17fc82d0f6a1, 7016
00,01,0800,0604,0001,bc,24,1156,421682d0,f6ab0000,0000000082d0f6a1, 7016
45,60,0028,0000,4000,40,06,883a,82d0f6ab,a2d895e1,2619da1d00000000def8c4c95014000059a10000, 7016
45,00,0055,731e,0000,40,11,7dee,82d0f6ab,08080808,e53e0035004189dea248010000010000000000010332323503313439033231360331363207696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,c0,0048,b114,0000,40,01,0fdc,82d0f6ab,c1a37de5,030db616000000004500002cf4350000f2061b91c1a37de582d0f6abc74900666d9e556600000000600239081b650000020405b4, 7016
45,00,0055,466d,0000,40,11,aa9f,82d0f6ab,08080808,ca150035004189dea7a3010000010000000000010332323903313235033136330331393307696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,10,0028,0000,4000,40,06,ad33,82d0f6ab,a5e36e2d,217d6658000000002a27b8d550140000b7710000, 7016
45,00,0054,89a3,0000,40,11,676a,82d0f6ab,08080808,ce050035004089ddbe7c0100000100000000000102343503313130033232370331363507696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0028,0000,4000,40,06,0b02,82d0f6ab,12bea394,2378b009000000005e22d64d5014000078100000, 7016
45,00,0054,163b,0000,40,11,dad2,82d0f6ab,08080808,e0af0035004089dde2dd0100000100000000000103313438033136330331393002313807696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,0028,0000,4000,40,06,ca51,82d0f6ab,23cbd337,247ec99100000000e7f80ac0501400005e890000, 7016
45,40,0028,0000,4000,40,06,cc87,82d0f6ab,c2b431d8,077cdde6000000009064645c5014000067a40000, 7016
45,00,0053,3bd6,0000,40,11,b538,82d0f6ab,08080808,e6a60035003f89dc7b8b01000001000000000001023535033231310332303302333507696e2d61646472046172706100000c000100002905c0000000000000, 7016
00,01,0800,0604,0002,bc,24,1156,421682d0,f6abd401,c34c17fc82d0f6a1, 7016
45,00,0028,0000,4000,40,06,1277,82d0f6ab,340e7acf,1f4f8e2c0000000057c84724501400003b0f0000, 7016
45,00,0053,94f5,0000,40,11,5c19,82d0f6ab,08080808,8de30035003f89dccc9401000001000000000001033230370331323202313402353207696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,c0,0050,dbe5,0000,40,01,bb04,82d0f6ab,33443643,030de01c0000000045000034b3ea00002f06f4d63344364382d0f6ab91e403e1feee4533000000008002ffffb2250000020405b40103030801010402, 7016
00,01,0800,0604,0001,bc,24,1156,421682d0,f6ab0000,0000000082d0f6a1, 7016
45,00,0051,bd52,0000,40,11,33be,82d0f6ab,08080808,8e8a0035003d89da23f40100000100000000000102363702353402363802353107696e2d61646472046172706100000c000100002905c0000000000000, 7016
45,00,004a,499b,0000,40,11,a77c,82d0f6ab,08080808,d3430035003689d31ab5010000010000000000010d6665646f726170726f6a656374036f726700001c000100002905c0000000000000, 7016
00,01,0800,0604,0002,bc,24,1156,421682d0,f6abd401,c34c17fc82d0f6a1, 7016
